"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","44.5",""
"From 1 to 149 minutes","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","21.8",""
"From 150 to 299 minutes","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","15.9",""
"300 minutes or over","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","17.8",""
"Zero minutes","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","82.5",""
"From 1 to 149 minutes","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","6.4",""
"From 150 to 299 minutes","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","5.2",""
"300 minutes or over","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","5.9",""
"Zero minutes","Czechia","Percentage","Fourth quintile","2014","Total","Total","45.7",""
"From 1 to 149 minutes","Czechia","Percentage","Fourth quintile","2014","Total","Total","25.0",""
"From 150 to 299 minutes","Czechia","Percentage","Fourth quintile","2014","Total","Total","16.5",""
"300 minutes or over","Czechia","Percentage","Fourth quintile","2014","Total","Total","12.7",""
"Zero minutes","Denmark","Percentage","Fourth quintile","2014","Total","Total","16.4",""
"From 1 to 149 minutes","Denmark","Percentage","Fourth quintile","2014","Total","Total","28.2",""
"From 150 to 299 minutes","Denmark","Percentage","Fourth quintile","2014","Total","Total","25.2",""
"300 minutes or over","Denmark","Percentage","Fourth quintile","2014","Total","Total","30.1",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","24.5",""
"From 1 to 149 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","24.4",""
"From 150 to 299 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","23.5",""
"300 minutes or over","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","27.5",""
"Zero minutes","Estonia","Percentage","Fourth quintile","2014","Total","Total","44.1",""
"From 1 to 149 minutes","Estonia","Percentage","Fourth quintile","2014","Total","Total","28.4",""
"From 150 to 299 minutes","Estonia","Percentage","Fourth quintile","2014","Total","Total","14.2",""
"300 minutes or over","Estonia","Percentage","Fourth quintile","2014","Total","Total","13.2",""
"Zero minutes","Ireland","Percentage","Fourth quintile","2014","Total","Total","53.2",""
"From 1 to 149 minutes","Ireland","Percentage","Fourth quintile","2014","Total","Total","18.7",""
"From 150 to 299 minutes","Ireland","Percentage","Fourth quintile","2014","Total","Total","15.0",""
"300 minutes or over","Ireland","Percentage","Fourth quintile","2014","Total","Total","13.1",""
"Zero minutes","Greece","Percentage","Fourth quintile","2014","Total","Total","70.5",""
"From 1 to 149 minutes","Greece","Percentage","Fourth quintile","2014","Total","Total","11.4",""
"From 150 to 299 minutes","Greece","Percentage","Fourth quintile","2014","Total","Total","9.6",""
"300 minutes or over","Greece","Percentage","Fourth quintile","2014","Total","Total","8.6",""
"Zero minutes","Spain","Percentage","Fourth quintile","2014","Total","Total","47.8",""
"From 1 to 149 minutes","Spain","Percentage","Fourth quintile","2014","Total","Total","15.0",""
"From 150 to 299 minutes","Spain","Percentage","Fourth quintile","2014","Total","Total","15.0",""
"300 minutes or over","Spain","Percentage","Fourth quintile","2014","Total","Total","22.2",""
"Zero minutes","France","Percentage","Fourth quintile","2014","Total","Total","42.6",""
"From 1 to 149 minutes","France","Percentage","Fourth quintile","2014","Total","Total","29.0",""
"From 150 to 299 minutes","France","Percentage","Fourth quintile","2014","Total","Total","15.1",""
"300 minutes or over","France","Percentage","Fourth quintile","2014","Total","Total","13.3",""
"Zero minutes","Croatia","Percentage","Fourth quintile","2014","Total","Total","56.6",""
"From 1 to 149 minutes","Croatia","Percentage","Fourth quintile","2014","Total","Total","20.0",""
"From 150 to 299 minutes","Croatia","Percentage","Fourth quintile","2014","Total","Total","9.4",""
"300 minutes or over","Croatia","Percentage","Fourth quintile","2014","Total","Total","14.0",""
"Zero minutes","Italy","Percentage","Fourth quintile","2014","Total","Total","59.0",""
"From 1 to 149 minutes","Italy","Percentage","Fourth quintile","2014","Total","Total","19.8",""
"From 150 to 299 minutes","Italy","Percentage","Fourth quintile","2014","Total","Total","11.2",""
"300 minutes or over","Italy","Percentage","Fourth quintile","2014","Total","Total","10.0",""
"Zero minutes","Cyprus","Percentage","Fourth quintile","2014","Total","Total","57.0",""
"From 1 to 149 minutes","Cyprus","Percentage","Fourth quintile","2014","Total","Total","14.8",""
"From 150 to 299 minutes","Cyprus","Percentage","Fourth quintile","2014","Total","Total","15.4",""
"300 minutes or over","Cyprus","Percentage","Fourth quintile","2014","Total","Total","12.8",""
"Zero minutes","Latvia","Percentage","Fourth quintile","2014","Total","Total","48.4",""
"From 1 to 149 minutes","Latvia","Percentage","Fourth quintile","2014","Total","Total","26.3",""
"From 150 to 299 minutes","Latvia","Percentage","Fourth quintile","2014","Total","Total","12.3",""
"300 minutes or over","Latvia","Percentage","Fourth quintile","2014","Total","Total","13.0",""
"Zero minutes","Lithuania","Percentage","Fourth quintile","2014","Total","Total","63.9",""
