"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every day","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","10.8","e"
"Every week","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","39.1","e"
"Every month","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","23.2","e"
"Less than once a month","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","11.6","e"
"Never or not in the last 12 months","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","15.3","e"
"Every day","Belgium","Percentage","Fifth quintile","2014","Total","Total","16.4",""
"Every week","Belgium","Percentage","Fifth quintile","2014","Total","Total","44.8",""
"Every month","Belgium","Percentage","Fifth quintile","2014","Total","Total","22.2",""
"Less than once a month","Belgium","Percentage","Fifth quintile","2014","Total","Total","7.9",""
"Never or not in the last 12 months","Belgium","Percentage","Fifth quintile","2014","Total","Total","8.8",""
"Every day","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","9.5",""
"Every week","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","23.7",""
"Every month","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","31.1",""
"Less than once a month","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","12.6",""
"Never or not in the last 12 months","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","23.2",""
"Every day","Czechia","Percentage","Fifth quintile","2014","Total","Total","11.2",""
"Every week","Czechia","Percentage","Fifth quintile","2014","Total","Total","44.4",""
"Every month","Czechia","Percentage","Fifth quintile","2014","Total","Total","25.8",""
"Less than once a month","Czechia","Percentage","Fifth quintile","2014","Total","Total","11.7",""
"Never or not in the last 12 months","Czechia","Percentage","Fifth quintile","2014","Total","Total","6.9",""
"Every day","Denmark","Percentage","Fifth quintile","2014","Total","Total","10.5",""
"Every week","Denmark","Percentage","Fifth quintile","2014","Total","Total","48.0",""
"Every month","Denmark","Percentage","Fifth quintile","2014","Total","Total","26.5",""
"Less than once a month","Denmark","Percentage","Fifth quintile","2014","Total","Total","10.5",""
"Never or not in the last 12 months","Denmark","Percentage","Fifth quintile","2014","Total","Total","4.6",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","11.8",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","50.3",""
"Every month","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","21.0",""
"Less than once a month","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","9.2",""
"Never or not in the last 12 months","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","7.7",""
"Every day","Estonia","Percentage","Fifth quintile","2014","Total","Total","2.5",""
"Every week","Estonia","Percentage","Fifth quintile","2014","Total","Total","29.8",""
