"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every day","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","9.7","e"
"Every week","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","33.9","e"
"Every month","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","24.2","e"
"Less than once a month","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","13.1","e"
"Never or not in the last 12 months","European Union - 28 countries","Percentage","Fourth quintile","2014","Total","Total","19.2","e"
"Every day","Belgium","Percentage","Fourth quintile","2014","Total","Total","14.9",""
"Every week","Belgium","Percentage","Fourth quintile","2014","Total","Total","42.5",""
"Every month","Belgium","Percentage","Fourth quintile","2014","Total","Total","22.4",""
"Less than once a month","Belgium","Percentage","Fourth quintile","2014","Total","Total","8.7",""
"Never or not in the last 12 months","Belgium","Percentage","Fourth quintile","2014","Total","Total","11.6",""
"Every day","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","9.4",""
"Every week","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","22.0",""
"Every month","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","28.1",""
"Less than once a month","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","10.8",""
"Never or not in the last 12 months","Bulgaria","Percentage","Fourth quintile","2014","Total","Total","29.7",""
"Every day","Czechia","Percentage","Fourth quintile","2014","Total","Total","10.8",""
"Every week","Czechia","Percentage","Fourth quintile","2014","Total","Total","36.6",""
"Every month","Czechia","Percentage","Fourth quintile","2014","Total","Total","25.6",""
"Less than once a month","Czechia","Percentage","Fourth quintile","2014","Total","Total","14.6",""
"Never or not in the last 12 months","Czechia","Percentage","Fourth quintile","2014","Total","Total","12.3",""
"Every day","Denmark","Percentage","Fourth quintile","2014","Total","Total","8.0",""
"Every week","Denmark","Percentage","Fourth quintile","2014","Total","Total","45.9",""
"Every month","Denmark","Percentage","Fourth quintile","2014","Total","Total","29.0",""
"Less than once a month","Denmark","Percentage","Fourth quintile","2014","Total","Total","12.3",""
"Never or not in the last 12 months","Denmark","Percentage","Fourth quintile","2014","Total","Total","4.7",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","9.5",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","43.6",""
"Every month","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","25.8",""
"Less than once a month","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","11.1",""
"Never or not in the last 12 months","Germany (until 1990 former territory of the FRG)","Percentage","Fourth quintile","2014","Total","Total","10.0",""
"Every day","Estonia","Percentage","Fourth quintile","2014","Total","Total","2.3",""
"Every week","Estonia","Percentage","Fourth quintile","2014","Total","Total","21.4",""
"Every month","Estonia","Percentage","Fourth quintile","2014","Total","Total","35.8",""
"Less than once a month","Estonia","Percentage","Fourth quintile","2014","Total","Total","28.3",""
"Never or not in the last 12 months","Estonia","Percentage","Fourth quintile","2014","Total","Total","12.2",""
"Every day","Ireland","Percentage","Fourth quintile","2014","Total","Total","1.7",""
"Every week","Ireland","Percentage","Fourth quintile","2014","Total","Total","42.8",""
"Every month","Ireland","Percentage","Fourth quintile","2014","Total","Total","27.6",""
"Less than once a month","Ireland","Percentage","Fourth quintile","2014","Total","Total","10.0",""
"Never or not in the last 12 months","Ireland","Percentage","Fourth quintile","2014","Total","Total","18.0",""
"Every day","Greece","Percentage","Fourth quintile","2014","Total","Total","6.6",""
