"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","54.5",""
"From 1 to 149 minutes","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","19.0",""
"From 150 to 299 minutes","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","11.8",""
"300 minutes or over","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","14.7",""
"Zero minutes","Bulgaria","Percentage","Second quintile","2014","Total","Total","85.0",""
"From 1 to 149 minutes","Bulgaria","Percentage","Second quintile","2014","Total","Total","6.7",""
"From 150 to 299 minutes","Bulgaria","Percentage","Second quintile","2014","Total","Total","2.9",""
"300 minutes or over","Bulgaria","Percentage","Second quintile","2014","Total","Total","5.4",""
"Zero minutes","Czechia","Percentage","Second quintile","2014","Total","Total","57.8",""
"From 1 to 149 minutes","Czechia","Percentage","Second quintile","2014","Total","Total","24.8",""
"From 150 to 299 minutes","Czechia","Percentage","Second quintile","2014","Total","Total","8.3",""
"300 minutes or over","Czechia","Percentage","Second quintile","2014","Total","Total","9.1",""
"Zero minutes","Denmark","Percentage","Second quintile","2014","Total","Total","20.9",""
"From 1 to 149 minutes","Denmark","Percentage","Second quintile","2014","Total","Total","28.3",""
"From 150 to 299 minutes","Denmark","Percentage","Second quintile","2014","Total","Total","22.1",""
"300 minutes or over","Denmark","Percentage","Second quintile","2014","Total","Total","28.7",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","34.5",""
"From 1 to 149 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","22.4",""
"From 150 to 299 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","19.5",""
"300 minutes or over","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","23.6",""
"Zero minutes","Estonia","Percentage","Second quintile","2014","Total","Total","58.1",""
"From 1 to 149 minutes","Estonia","Percentage","Second quintile","2014","Total","Total","21.6",""
"From 150 to 299 minutes","Estonia","Percentage","Second quintile","2014","Total","Total","9.0",""
"300 minutes or over","Estonia","Percentage","Second quintile","2014","Total","Total","11.3",""
"Zero minutes","Ireland","Percentage","Second quintile","2014","Total","Total","56.1","u"
"From 1 to 149 minutes","Ireland","Percentage","Second quintile","2014","Total","Total","15.8","u"
"From 150 to 299 minutes","Ireland","Percentage","Second quintile","2014","Total","Total","11.9","u"
"300 minutes or over","Ireland","Percentage","Second quintile","2014","Total","Total","16.2","u"
"Zero minutes","Greece","Percentage","Second quintile","2014","Total","Total","76.1",""
"From 1 to 149 minutes","Greece","Percentage","Second quintile","2014","Total","Total","9.4",""
"From 150 to 299 minutes","Greece","Percentage","Second quintile","2014","Total","Total","5.2",""
"300 minutes or over","Greece","Percentage","Second quintile","2014","Total","Total","9.3",""
"Zero minutes","Spain","Percentage","Second quintile","2014","Total","Total","59.9",""
"From 1 to 149 minutes","Spain","Percentage","Second quintile","2014","Total","Total","12.4",""
"From 150 to 299 minutes","Spain","Percentage","Second quintile","2014","Total","Total","9.8",""
"300 minutes or over","Spain","Percentage","Second quintile","2014","Total","Total","17.9",""
"Zero minutes","France","Percentage","Second quintile","2014","Total","Total","57.5",""
"From 1 to 149 minutes","France","Percentage","Second quintile","2014","Total","Total","22.4",""
