"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 28 countries","Percentage","2014","Second quintile","Total","Total","35.7",""
"From 1 to 4 portions","European Union - 28 countries","Percentage","2014","Second quintile","Total","Total","50.9",""
"5 portions or more","European Union - 28 countries","Percentage","2014","Second quintile","Total","Total","13.3",""
"0 portions","Belgium","Percentage","2014","Second quintile","Total","Total","15.7",""
"From 1 to 4 portions","Belgium","Percentage","2014","Second quintile","Total","Total","73.4",""
"5 portions or more","Belgium","Percentage","2014","Second quintile","Total","Total","10.9",""
"0 portions","Bulgaria","Percentage","2014","Second quintile","Total","Total","61.4",""
"From 1 to 4 portions","Bulgaria","Percentage","2014","Second quintile","Total","Total","32.9",""
"5 portions or more","Bulgaria","Percentage","2014","Second quintile","Total","Total","5.6",""
"0 portions","Czechia","Percentage","2014","Second quintile","Total","Total","50.0",""
"From 1 to 4 portions","Czechia","Percentage","2014","Second quintile","Total","Total","41.5",""
"5 portions or more","Czechia","Percentage","2014","Second quintile","Total","Total","8.5",""
"0 portions","Denmark","Percentage","2014","Second quintile","Total","Total","39.8",""
"From 1 to 4 portions","Denmark","Percentage","2014","Second quintile","Total","Total","35.0",""
"5 portions or more","Denmark","Percentage","2014","Second quintile","Total","Total","25.3",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Second quintile","Total","Total","43.9",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Second quintile","Total","Total","46.4",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2014","Second quintile","Total","Total","9.7",""
"0 portions","Estonia","Percentage","2014","Second quintile","Total","Total","32.2",""
"From 1 to 4 portions","Estonia","Percentage","2014","Second quintile","Total","Total","52.0",""
"5 portions or more","Estonia","Percentage","2014","Second quintile","Total","Total","15.7",""
"0 portions","Ireland","Percentage","2014","Second quintile","Total","Total","34.2",""
"From 1 to 4 portions","Ireland","Percentage","2014","Second quintile","Total","Total","37.5",""
"5 portions or more","Ireland","Percentage","2014","Second quintile","Total","Total","28.3",""
"0 portions","Greece","Percentage","2014","Second quintile","Total","Total","29.1",""
"From 1 to 4 portions","Greece","Percentage","2014","Second quintile","Total","Total","63.4",""
"5 portions or more","Greece","Percentage","2014","Second quintile","Total","Total","7.5",""
"0 portions","Spain","Percentage","2014","Second quintile","Total","Total","22.9",""
"From 1 to 4 portions","Spain","Percentage","2014","Second quintile","Total","Total","63.0",""
"5 portions or more","Spain","Percentage","2014","Second quintile","Total","Total","14.1",""
"0 portions","France","Percentage","2014","Second quintile","Total","Total","36.3",""
"From 1 to 4 portions","France","Percentage","2014","Second quintile","Total","Total","50.4",""
"5 portions or more","France","Percentage","2014","Second quintile","Total","Total","13.3",""
"0 portions","Croatia","Percentage","2014","Second quintile","Total","Total","32.1",""
"From 1 to 4 portions","Croatia","Percentage","2014","Second quintile","Total","Total","60.1",""
"5 portions or more","Croatia","Percentage","2014","Second quintile","Total","Total","7.8",""
"0 portions","Italy","Percentage","2014","Second quintile","Total","Total","25.7",""
"From 1 to 4 portions","Italy","Percentage","2014","Second quintile","Total","Total","63.7",""
"5 portions or more","Italy","Percentage","2014","Second quintile","Total","Total","10.6",""
"0 portions","Cyprus","Percentage","2014","Second quintile","Total","Total","34.7",""
"From 1 to 4 portions","Cyprus","Percentage","2014","Second quintile","Total","Total","49.6",""
"5 portions or more","Cyprus","Percentage","2014","Second quintile","Total","Total","15.7",""
"0 portions","Latvia","Percentage","2014","Second quintile","Total","Total","48.4",""
"From 1 to 4 portions","Latvia","Percentage","2014","Second quintile","Total","Total","40.4",""
"5 portions or more","Latvia","Percentage","2014","Second quintile","Total","Total","11.2",""
"0 portions","Lithuania","Percentage","2014","Second quintile","Total","Total","53.6",""
"From 1 to 4 portions","Lithuania","Percentage","2014","Second quintile","Total","Total","35.5",""
"5 portions or more","Lithuania","Percentage","2014","Second quintile","Total","Total","10.9",""
"0 portions","Luxembourg","Percentage","2014","Second quintile","Total","Total","37.9",""
"From 1 to 4 portions","Luxembourg","Percentage","2014","Second quintile","Total","Total","51.0",""
"5 portions or more","Luxembourg","Percentage","2014","Second quintile","Total","Total","11.1",""
"0 portions","Hungary","Percentage","2014","Second quintile","Total","Total","34.2",""
"From 1 to 4 portions","Hungary","Percentage","2014","Second quintile","Total","Total","55.2",""
"5 portions or more","Hungary","Percentage","2014","Second quintile","Total","Total","10.6",""
"0 portions","Malta","Percentage","2014","Second quintile","Total","Total","35.0",""
"From 1 to 4 portions","Malta","Percentage","2014","Second quintile","Total","Total","49.3",""
"5 portions or more","Malta","Percentage","2014","Second quintile","Total","Total","15.7",""
"0 portions","Netherlands","Percentage","2014","Second quintile","Total","Total","43.2",""
"From 1 to 4 portions","Netherlands","Percentage","2014","Second quintile","Total","Total","33.4",""
"5 portions or more","Netherlands","Percentage","2014","Second quintile","Total","Total","23.4",""
"0 portions","Austria","Percentage","2014","Second quintile","Total","Total","31.9",""
"From 1 to 4 portions","Austria","Percentage","2014","Second quintile","Total","Total","61.5",""
"5 portions or more","Austria","Percentage","2014","Second quintile","Total","Total","6.6",""
"0 portions","Poland","Percentage","2014","Second quintile","Total","Total","39.0",""
"From 1 to 4 portions","Poland","Percentage","2014","Second quintile","Total","Total","52.0",""
"5 portions or more","Poland","Percentage","2014","Second quintile","Total","Total","8.9",""
"0 portions","Portugal","Percentage","2014","Second quintile","Total","Total","22.5",""
"From 1 to 4 portions","Portugal","Percentage","2014","Second quintile","Total","Total","62.6",""
"5 portions or more","Portugal","Percentage","2014","Second quintile","Total","Total","14.9",""
"0 portions","Romania","Percentage","2014","Second quintile","Total","Total","70.4",""
"From 1 to 4 portions","Romania","Percentage","2014","Second quintile","Total","Total","27.0",""
"5 portions or more","Romania","Percentage","2014","Second quintile","Total","Total","2.7",""
"0 portions","Slovenia","Percentage","2014","Second quintile","Total","Total","27.4",""
"From 1 to 4 portions","Slovenia","Percentage","2014","Second quintile","Total","Total","65.6",""
"5 portions or more","Slovenia","Percentage","2014","Second quintile","Total","Total","6.9",""
"0 portions","Slovakia","Percentage","2014","Second quintile","Total","Total","46.2",""
"From 1 to 4 portions","Slovakia","Percentage","2014","Second quintile","Total","Total","43.9",""
"5 portions or more","Slovakia","Percentage","2014","Second quintile","Total","Total","9.9",""
"0 portions","Finland","Percentage","2014","Second quintile","Total","Total","47.9",""
"From 1 to 4 portions","Finland","Percentage","2014","Second quintile","Total","Total","41.8",""
"5 portions or more","Finland","Percentage","2014","Second quintile","Total","Total","10.3",""
"0 portions","Sweden","Percentage","2014","Second quintile","Total","Total","36.4",""
"From 1 to 4 portions","Sweden","Percentage","2014","Second quintile","Total","Total","55.1",""
"5 portions or more","Sweden","Percentage","2014","Second quintile","Total","Total","8.5",""
"0 portions","United Kingdom","Percentage","2014","Second quintile","Total","Total","24.2",""
"From 1 to 4 portions","United Kingdom","Percentage","2014","Second quintile","Total","Total","45.8",""
"5 portions or more","United Kingdom","Percentage","2014","Second quintile","Total","Total","30.0",""
"0 portions","Iceland","Percentage","2014","Second quintile","Total","Total","35.2",""
"From 1 to 4 portions","Iceland","Percentage","2014","Second quintile","Total","Total","54.6",""
"5 portions or more","Iceland","Percentage","2014","Second quintile","Total","Total","10.2",""
