"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every day","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","8.7","e"
"Every week","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","25.3","e"
"Every month","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","22.5","e"
"Less than once a month","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","15.2","e"
"Never or not in the last 12 months","European Union - 28 countries","Percentage","Second quintile","2014","Total","Total","28.4","e"
"Every day","Belgium","Percentage","Second quintile","2014","Total","Total","12.7","u"
"Every week","Belgium","Percentage","Second quintile","2014","Total","Total","28.6","u"
"Every month","Belgium","Percentage","Second quintile","2014","Total","Total","20.1","u"
"Less than once a month","Belgium","Percentage","Second quintile","2014","Total","Total","9.2","u"
"Never or not in the last 12 months","Belgium","Percentage","Second quintile","2014","Total","Total","29.3","u"
"Every day","Bulgaria","Percentage","Second quintile","2014","Total","Total","7.0",""
"Every week","Bulgaria","Percentage","Second quintile","2014","Total","Total","15.1",""
"Every month","Bulgaria","Percentage","Second quintile","2014","Total","Total","22.5",""
"Less than once a month","Bulgaria","Percentage","Second quintile","2014","Total","Total","12.5",""
"Never or not in the last 12 months","Bulgaria","Percentage","Second quintile","2014","Total","Total","43.0",""
"Every day","Czechia","Percentage","Second quintile","2014","Total","Total","8.7",""
"Every week","Czechia","Percentage","Second quintile","2014","Total","Total","26.7",""
"Every month","Czechia","Percentage","Second quintile","2014","Total","Total","26.5",""
"Less than once a month","Czechia","Percentage","Second quintile","2014","Total","Total","18.2",""
"Never or not in the last 12 months","Czechia","Percentage","Second quintile","2014","Total","Total","19.9",""
"Every day","Denmark","Percentage","Second quintile","2014","Total","Total","14.9",""
"Every week","Denmark","Percentage","Second quintile","2014","Total","Total","37.9",""
"Every month","Denmark","Percentage","Second quintile","2014","Total","Total","26.5",""
"Less than once a month","Denmark","Percentage","Second quintile","2014","Total","Total","12.5",""
"Never or not in the last 12 months","Denmark","Percentage","Second quintile","2014","Total","Total","8.1",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","8.6",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","34.9",""
"Every month","Germany (until 1990 former territory of the FRG)","Percentage","Second quintile","2014","Total","Total","26.9",""
