"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every day","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","9.4","e"
"Every week","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","28.6","e"
"Every month","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","22.9","e"
"Less than once a month","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","14.8","e"
"Never or not in the last 12 months","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","24.2","e"
"Every day","Belgium","Percentage","Third quintile","2014","Total","Total","14.1",""
"Every week","Belgium","Percentage","Third quintile","2014","Total","Total","39.3",""
"Every month","Belgium","Percentage","Third quintile","2014","Total","Total","19.5",""
"Less than once a month","Belgium","Percentage","Third quintile","2014","Total","Total","10.0",""
"Never or not in the last 12 months","Belgium","Percentage","Third quintile","2014","Total","Total","17.1",""
"Every day","Bulgaria","Percentage","Third quintile","2014","Total","Total","9.4",""
"Every week","Bulgaria","Percentage","Third quintile","2014","Total","Total","16.7",""
"Every month","Bulgaria","Percentage","Third quintile","2014","Total","Total","22.2",""
"Less than once a month","Bulgaria","Percentage","Third quintile","2014","Total","Total","15.2",""
"Never or not in the last 12 months","Bulgaria","Percentage","Third quintile","2014","Total","Total","36.5",""
"Every day","Czechia","Percentage","Third quintile","2014","Total","Total","9.7",""
"Every week","Czechia","Percentage","Third quintile","2014","Total","Total","34.8",""
"Every month","Czechia","Percentage","Third quintile","2014","Total","Total","25.5",""
"Less than once a month","Czechia","Percentage","Third quintile","2014","Total","Total","15.9",""
"Never or not in the last 12 months","Czechia","Percentage","Third quintile","2014","Total","Total","14.0",""
"Every day","Denmark","Percentage","Third quintile","2014","Total","Total","12.4",""
"Every week","Denmark","Percentage","Third quintile","2014","Total","Total","39.2",""
"Every month","Denmark","Percentage","Third quintile","2014","Total","Total","25.9",""
"Less than once a month","Denmark","Percentage","Third quintile","2014","Total","Total","14.6",""
"Never or not in the last 12 months","Denmark","Percentage","Third quintile","2014","Total","Total","8.0",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","8.4",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","38.2",""
"Every month","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","26.9",""
"Less than once a month","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","14.2",""
"Never or not in the last 12 months","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","12.2",""
"Every day","Estonia","Percentage","Third quintile","2014","Total","Total","1.6",""
"Every week","Estonia","Percentage","Third quintile","2014","Total","Total","15.8",""
"Every month","Estonia","Percentage","Third quintile","2014","Total","Total","31.3",""
"Less than once a month","Estonia","Percentage","Third quintile","2014","Total","Total","34.0",""
"Never or not in the last 12 months","Estonia","Percentage","Third quintile","2014","Total","Total","17.2",""
"Every day","Ireland","Percentage","Third quintile","2014","Total","Total","2.0",""
"Every week","Ireland","Percentage","Third quintile","2014","Total","Total","40.9",""
"Every month","Ireland","Percentage","Third quintile","2014","Total","Total","27.0",""
"Less than once a month","Ireland","Percentage","Third quintile","2014","Total","Total","10.8",""
"Never or not in the last 12 months","Ireland","Percentage","Third quintile","2014","Total","Total","19.3",""
"Every day","Greece","Percentage","Third quintile","2014","Total","Total","5.8",""
"Every week","Greece","Percentage","Third quintile","2014","Total","Total","18.9",""
"Every month","Greece","Percentage","Third quintile","2014","Total","Total","25.2",""
"Less than once a month","Greece","Percentage","Third quintile","2014","Total","Total","10.6",""
"Never or not in the last 12 months","Greece","Percentage","Third quintile","2014","Total","Total","39.6",""
"Every day","Spain","Percentage","Third quintile","2014","Total","Total","16.4",""
"Every week","Spain","Percentage","Third quintile","2014","Total","Total","20.4",""
"Every month","Spain","Percentage","Third quintile","2014","Total","Total","16.5",""
"Less than once a month","Spain","Percentage","Third quintile","2014","Total","Total","13.3",""
"Never or not in the last 12 months","Spain","Percentage","Third quintile","2014","Total","Total","33.4",""
"Every day","Croatia","Percentage","Third quintile","2014","Total","Total","8.5",""
"Every week","Croatia","Percentage","Third quintile","2014","Total","Total","14.7",""
"Every month","Croatia","Percentage","Third quintile","2014","Total","Total","18.8",""
"Less than once a month","Croatia","Percentage","Third quintile","2014","Total","Total","11.2",""
"Never or not in the last 12 months","Croatia","Percentage","Third quintile","2014","Total","Total","46.8",""
"Every day","Italy","Percentage","Third quintile","2014","Total","Total","15.1","d"
"Every week","Italy","Percentage","Third quintile","2014","Total","Total","22.7","d"
"Every month","Italy","Percentage","Third quintile","2014","Total","Total","20.0",""
"Less than once a month","Italy","Percentage","Third quintile","2014","Total","Total","9.0","d"
"Never or not in the last 12 months","Italy","Percentage","Third quintile","2014","Total","Total","33.2","d"
"Every day","Cyprus","Percentage","Third quintile","2014","Total","Total","4.7",""
"Every week","Cyprus","Percentage","Third quintile","2014","Total","Total","16.7",""
"Every month","Cyprus","Percentage","Third quintile","2014","Total","Total","22.8",""
"Less than once a month","Cyprus","Percentage","Third quintile","2014","Total","Total","9.1",""
"Never or not in the last 12 months","Cyprus","Percentage","Third quintile","2014","Total","Total","46.8",""
"Every day","Latvia","Percentage","Third quintile","2014","Total","Total","1.3",""
"Every week","Latvia","Percentage","Third quintile","2014","Total","Total","10.7",""
"Every month","Latvia","Percentage","Third quintile","2014","Total","Total","32.0",""
"Less than once a month","Latvia","Percentage","Third quintile","2014","Total","Total","29.8",""
"Never or not in the last 12 months","Latvia","Percentage","Third quintile","2014","Total","Total","26.3",""
"Every day","Lithuania","Percentage","Third quintile","2014","Total","Total","0.3",""
"Every week","Lithuania","Percentage","Third quintile","2014","Total","Total","8.9",""
"Every month","Lithuania","Percentage","Third quintile","2014","Total","Total","35.0",""
"Less than once a month","Lithuania","Percentage","Third quintile","2014","Total","Total","26.6",""
"Never or not in the last 12 months","Lithuania","Percentage","Third quintile","2014","Total","Total","29.3",""
"Every day","Luxembourg","Percentage","Third quintile","2014","Total","Total","10.5",""
"Every week","Luxembourg","Percentage","Third quintile","2014","Total","Total","45.1",""
"Every month","Luxembourg","Percentage","Third quintile","2014","Total","Total","24.7",""
"Less than once a month","Luxembourg","Percentage","Third quintile","2014","Total","Total","6.3",""
"Never or not in the last 12 months","Luxembourg","Percentage","Third quintile","2014","Total","Total","13.4",""
"Every day","Hungary","Percentage","Third quintile","2014","Total","Total","8.6",""
"Every week","Hungary","Percentage","Third quintile","2014","Total","Total","15.8",""
"Every month","Hungary","Percentage","Third quintile","2014","Total","Total","21.6",""
"Less than once a month","Hungary","Percentage","Third quintile","2014","Total","Total","23.9",""
"Never or not in the last 12 months","Hungary","Percentage","Third quintile","2014","Total","Total","30.2",""
"Every day","Malta","Percentage","Third quintile","2014","Total","Total","6.5",""
"Every week","Malta","Percentage","Third quintile","2014","Total","Total","31.4",""
"Every month","Malta","Percentage","Third quintile","2014","Total","Total","29.1",""
"Less than once a month","Malta","Percentage","Third quintile","2014","Total","Total","12.1",""
"Never or not in the last 12 months","Malta","Percentage","Third quintile","2014","Total","Total","21.0",""
"Every day","Austria","Percentage","Third quintile","2014","Total","Total","6.7",""
"Every week","Austria","Percentage","Third quintile","2014","Total","Total","31.5",""
"Every month","Austria","Percentage","Third quintile","2014","Total","Total","31.5",""
"Less than once a month","Austria","Percentage","Third quintile","2014","Total","Total","13.4",""
"Never or not in the last 12 months","Austria","Percentage","Third quintile","2014","Total","Total","16.8",""
"Every day","Poland","Percentage","Third quintile","2014","Total","Total","1.9",""
"Every week","Poland","Percentage","Third quintile","2014","Total","Total","12.8",""
