API_NY.GDP.PCAP.PP.KD_DS2_en_csv_v2_992688
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,COL,7729.00182436699,7730.56364867011,7888.05346157035,8154.44608601786,8467.48336684357,8745.97388943702,8768.10582453562,8913.23821338556,8814.36609909555,8306.28933707,8413.2218436793,8421.36245388365,8501.42568638423,8704.94467810473,9040.15406981243,9338.73045400723,9844.15453620046,10389.2962796667,10602.2454204915,10611.3385223243,10956.9458516118,11650.1994926942,11996.2165178573,12430.6471458766,12887.5992823361,13114.5736261796,13207.4682670432,13186.2068323642,13321.3278527342
Comoros,COM,2580.50055464827,2370.5516818711,2498.64974008635,2500.28424220294,2301.73235728978,2319.02778469298,2227.08046349489,2255.32718638077,2224.71977501759,2209.80740258133,2388.51199501145,2384.73809454244,2381.94535434283,2374.79437281658,2363.57573377472,2373.42081480282,2378.69295703641,2340.94004009642,2376.75648180604,2394.43982017218,2426.18249620984,2465.32491834502,2483.40992411992,2533.44379757944,2525.72610934726,2494.67324266475,2518.65371370093,2555.96636397642,2585.11741350193
Cabo Verde,CPV,1676.19028831897,1659.07794720804,1791.25321694974,1892.47092844877,2193.45386179151,2441.12393322081,2654.5474450433,2886.02174474452,3182.29070892905,3472.60473563799,3896.96062789052,3915.15868013561,4053.36763031147,4157.1480246928,4513.96743524271,4759.13261124538,5071.85682463518,5768.86952013302,6078.54680585444,5929.44377473058,5943.35034723677,6102.41216353509,6090.55379800137,6061.31205669713,6021.6283629113,6007.2182902507,6214.08023407487,6367.98487792581,6614.16708807108
Costa Rica,CRI,7744.43468663585,7715.46901908474,8208.57686683351,8566.76894703537,8727.23457102985,8864.72188850484,8759.92554630485,9032.10637770478,9445.17387803019,9611.58918251953,9786.22377290834,9947.7963293848,10107.7517626051,10378.1280436794,10671.591759543,10928.5848796656,11557.9895073096,12333.9562268502,12738.2612894871,12453.861956207,12908.8321994938,13302.9282818352,13777.7571957545,13929.6083754726,14259.0465204114,14617.1486695227,15077.4900980515,15430.3086305017,15679.9805577504
Caribbean small states,CSS,9138.8104333031,9259.26177588079,9463.6783849284,9674.55216317352,9848.08380454138,10039.5135023097,10296.9681740054,10547.7063378701,10778.0697913677,11142.5498334293,11490.2801894037,11666.0923597337,12044.7573190467,12761.030093316,13230.6615686807,13638.0670189115,14546.6557822171,14950.6070643474,15091.6110485018,14460.5721533907,14571.1540384079,14623.8580938131,14697.9663758832,14764.4135856249,14725.8910008859,14804.8612091953,14402.1067998925,14271.7849898536,14363.2069296859
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,29245.2648750257,30124.9468809126,30207.5775795185,29676.3218902667,29229.5925223055,28686.3783500467,28416.4503730919,28548.9201693179,28808.8134990311,28469.7632305776,28134.8821550968,27907.8660198663,27638.7604830465,27110.1879918091,26442.6821695966,26168.766659604,25637.3106454919,25110.9148257803,24617.0817569309
Cayman Islands,CYM,,,,,,,,,82533.6735777569,80925.0328358683,78096.1080362108,75646.3380911247,74530.2594084724,73932.5401496232,72620.1596433963,75206.8190681757,76373.3192149262,76467.8597424068,73992.3422542992,66820.1437848546,63457.0364511922,62861.1807436011,62468.5588603167,62239.526916579,62929.8731176917,63794.3363234792,64881.3647484275,65995.8092143796,
Cyprus,CYP,22426.0015502637,22014.5420571679,23451.6150582449,23052.3213902991,23912.680363035,25446.8077063515,25357.1368197515,25660.465116185,26896.7206116419,27926.7575492606,29279.5747022836,30110.5649470214,30875.6947541086,31302.896440139,32439.4455482406,33527.3883768362,34526.9399905126,35522.7340606105,35905.1594589531,34249.696763647,34037.8033398338,33313.5372341647,31678.8969837147,29671.8493507179,29441.1130712668,30608.4346088077,32523.9346618151,33628.1167131436,34569.2098653756
Czech Republic,CZE,20023.1359868007,17739.9967005769,17632.0996215138,17624.6847766243,18130.8910178629,19270.6993870719,20107.8534572022,20009.8318100153,19962.9612890242,20269.6986561428,21193.9017143286,21892.4825252314,22297.2247460071,23107.2038754946,24233.5969865808,25781.2047056167,27473.6271233417,28844.0671942979,29373.109231958,27803.5871619367,28352.9493967297,28797.4179611691,28527.1387346557,28379.7461176561,29119.6166121304,30605.4205211307,31295.2595238937,32570.7811794526,33435.5091806595
Germany,DEU,31374.425870414,32737.7137111616,33116.1634343889,32576.979951358,33242.687248518,33653.8395501358,33832.0448699171,34385.1389724789,35074.0793592074,35714.5751363829,36698.8433518828,37259.1593851624,37122.7488557986,36837.4655306075,37283.8933750199,37574.3565742223,39051.6879281539,40270.8340694922,40735.7292740621,38512.4135506571,40183.3485239356,42541.5310884096,42639.8924271334,42705.7915270382,43474.6751550221,43849.7692345755,44467.2187884042,45393.385454576,45936.1827126952
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,2744.26865451208,,,,,,,
Dominica,DMA,6658.25603458176,6752.22247731186,6872.68952116998,6992.83668095823,6974.33983867121,7180.11543511834,7419.95926826896,7618.30033991637,7952.4372902841,8020.64850499586,8230.09452623219,8223.62706274118,7970.85211470064,8445.46667820597,8668.24126846447,8699.53898542017,9088.22103887131,9655.15190394001,10337.9974799628,10213.6070949908,10278.3810697914,10249.8954096293,10134.368519249,10025.8418054798,10461.6213347135,10166.0724445743,10407.8372319508,9679.66613480367,9875.78888744891
Denmark,DNK,33785.6509398473,34167.7126642771,34721.3734024786,34609.5845004403,36332.2236607737,37237.7128549562,38101.4064743224,39180.6914913513,39904.5993940479,40945.289108866,42337.7092355786,42533.5356702218,42595.5838915926,42645.5732763862,43670.4462013277,44567.9221407603,46159.9165876703,46373.5130736021,45865.7963208042,43382.61568758,43998.4261011607,44403.3848413929,44336.817026065,44564.4530682896,45057.0834489799,45787.9839502628,46906.7536072668,47554.9213234772,48419.437883004
Dominican Republic,DOM,5515.56869064737,5462.7944885359,5962.64859836888,6284.59868297641,6332.84796324854,6576.88195644432,6853.01909064383,7340.42052829721,7709.30507604255,8041.10343964653,8288.75930032158,8366.91142614605,8616.37748464083,8380.03966179763,8476.53330516092,9150.4986861217,9858.40919673833,10453.2354476701,10652.7462558676,10620.2944384309,11365.4939983419,11580.5687761449,11754.2730555165,12183.3965550424,12892.3252408993,13629.1765203361,14374.5065013794,14880.1907157502,15748.3843065322
Algeria,DZA,10300.0150420056,9929.09771662046,9873.02486406041,9453.32318137323,9176.23556860993,9344.74890892472,9558.82286770879,9509.12339314861,9845.20922236282,10017.3740341841,10257.741569271,10427.985154974,10872.4340787749,11507.4829913352,11845.1705118832,12370.8920050248,12397.4670476696,12621.6441718317,12714.8135075909,12697.6907797038,12919.4910536141,13046.1285113709,13229.0087109151,13329.7707580155,13557.7697574639,13774.758920347,13926.9104885426,13822.3890868998,13737.3560625058
East Asia & Pacific (excluding high income),EAP,2222.40715249574,2357.88113885854,2564.10405666914,2794.13823908189,3041.40651331492,3290.76422550048,3536.49196267332,3729.3372149868,3719.14714178057,3895.49627517323,4140.89333895888,4368.71056103096,4662.10905335228,5017.05992833248,5411.96257340683,5875.84342593616,6439.64800007756,7144.64770840965,7675.78699421011,8185.55427090511,8907.48639025839,9574.18405365004,10212.4739448696,10858.1431861924,11496.0123963906,12147.9488647411,12820.3674973236,13544.1785351818,14297.925499767
Early-demographic dividend,EAR,4457.04849251579,4566.68934715787,4658.50975683379,4713.89977590494,4772.70207269473,4839.80475740208,5018.02039600595,5137.49421629936,5138.93540227859,5169.3110051263,5304.49395669153,5297.30403254679,5325.83955907782,5526.0978683519,5793.93279904492,6055.78938314595,6330.88868558745,6611.0613602938,6743.52387778959,6767.85468758096,7094.15068219091,7322.2912071181,7530.04858332123,7760.19339398284,8004.15616273997,8289.28732204009,8619.64088554068,8934.35002282468,9232.64631557696
