"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","38.8",""
"From 1 to 149 minutes","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","22.9",""
"From 150 to 299 minutes","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","18.5",""
"300 minutes or over","European Union - 28 countries","Percentage","Fifth quintile","2014","Total","Total","19.7",""
"Zero minutes","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","74.1",""
"From 1 to 149 minutes","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","9.1",""
"From 150 to 299 minutes","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","8.8",""
"300 minutes or over","Bulgaria","Percentage","Fifth quintile","2014","Total","Total","8.1",""
"Zero minutes","Czechia","Percentage","Fifth quintile","2014","Total","Total","35.8",""
"From 1 to 149 minutes","Czechia","Percentage","Fifth quintile","2014","Total","Total","25.9",""
"From 150 to 299 minutes","Czechia","Percentage","Fifth quintile","2014","Total","Total","20.5",""
"300 minutes or over","Czechia","Percentage","Fifth quintile","2014","Total","Total","17.8",""
"Zero minutes","Denmark","Percentage","Fifth quintile","2014","Total","Total","13.2",""
"From 1 to 149 minutes","Denmark","Percentage","Fifth quintile","2014","Total","Total","26.6",""
"From 150 to 299 minutes","Denmark","Percentage","Fifth quintile","2014","Total","Total","29.3",""
"300 minutes or over","Denmark","Percentage","Fifth quintile","2014","Total","Total","30.9",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","20.1",""
"From 1 to 149 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","24.0",""
"From 150 to 299 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","26.9",""
"300 minutes or over","Germany (until 1990 former territory of the FRG)","Percentage","Fifth quintile","2014","Total","Total","29.0",""
"Zero minutes","Estonia","Percentage","Fifth quintile","2014","Total","Total","32.7",""
"From 1 to 149 minutes","Estonia","Percentage","Fifth quintile","2014","Total","Total","32.9",""
"From 150 to 299 minutes","Estonia","Percentage","Fifth quintile","2014","Total","Total","18.6",""
"300 minutes or over","Estonia","Percentage","Fifth quintile","2014","Total","Total","15.7",""
"Zero minutes","Ireland","Percentage","Fifth quintile","2014","Total","Total","48.7",""
"From 1 to 149 minutes","Ireland","Percentage","Fifth quintile","2014","Total","Total","20.0",""
"From 150 to 299 minutes","Ireland","Percentage","Fifth quintile","2014","Total","Total","17.5",""
"300 minutes or over","Ireland","Percentage","Fifth quintile","2014","Total","Total","13.7",""
"Zero minutes","Greece","Percentage","Fifth quintile","2014","Total","Total","64.6",""
"From 1 to 149 minutes","Greece","Percentage","Fifth quintile","2014","Total","Total","11.5",""
"From 150 to 299 minutes","Greece","Percentage","Fifth quintile","2014","Total","Total","12.1",""
"300 minutes or over","Greece","Percentage","Fifth quintile","2014","Total","Total","11.8",""
"Zero minutes","Spain","Percentage","Fifth quintile","2014","Total","Total","38.0",""
"From 1 to 149 minutes","Spain","Percentage","Fifth quintile","2014","Total","Total","19.4",""
