"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 28 countries","Percentage","2014","First quintile","Total","Total","40.9",""
"From 1 to 4 portions","European Union - 28 countries","Percentage","2014","First quintile","Total","Total","47.5",""
"5 portions or more","European Union - 28 countries","Percentage","2014","First quintile","Total","Total","11.6",""
"0 portions","Belgium","Percentage","2014","First quintile","Total","Total","18.5",""
"From 1 to 4 portions","Belgium","Percentage","2014","First quintile","Total","Total","71.6",""
"5 portions or more","Belgium","Percentage","2014","First quintile","Total","Total","9.9",""
"0 portions","Bulgaria","Percentage","2014","First quintile","Total","Total","72.2",""
"From 1 to 4 portions","Bulgaria","Percentage","2014","First quintile","Total","Total","24.0",""
"5 portions or more","Bulgaria","Percentage","2014","First quintile","Total","Total","3.8",""
"0 portions","Czechia","Percentage","2014","First quintile","Total","Total","54.2",""
"From 1 to 4 portions","Czechia","Percentage","2014","First quintile","Total","Total","39.0",""
"5 portions or more","Czechia","Percentage","2014","First quintile","Total","Total","6.8",""
"0 portions","Denmark","Percentage","2014","First quintile","Total","Total","43.6",""
"From 1 to 4 portions","Denmark","Percentage","2014","First quintile","Total","Total","34.0",""
"5 portions or more","Denmark","Percentage","2014","First quintile","Total","Total","22.5",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","First quintile","Total","Total","47.0",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","First quintile","Total","Total","42.8",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2014","First quintile","Total","Total","10.2",""
"0 portions","Estonia","Percentage","2014","First quintile","Total","Total","44.0",""
"From 1 to 4 portions","Estonia","Percentage","2014","First quintile","Total","Total","41.7",""
"5 portions or more","Estonia","Percentage","2014","First quintile","Total","Total","14.3",""
"0 portions","Ireland","Percentage","2014","First quintile","Total","Total","34.4",""
"From 1 to 4 portions","Ireland","Percentage","2014","First quintile","Total","Total","38.5",""
"5 portions or more","Ireland","Percentage","2014","First quintile","Total","Total","27.1",""
"0 portions","Greece","Percentage","2014","First quintile","Total","Total","33.8",""
"From 1 to 4 portions","Greece","Percentage","2014","First quintile","Total","Total","58.2",""
"5 portions or more","Greece","Percentage","2014","First quintile","Total","Total","7.9",""
"0 portions","Spain","Percentage","2014","First quintile","Total","Total","32.5",""
"From 1 to 4 portions","Spain","Percentage","2014","First quintile","Total","Total","59.3",""
