"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","49.2",""
"From 1 to 149 minutes","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","20.2",""
"From 150 to 299 minutes","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","14.2",""
"300 minutes or over","European Union - 28 countries","Percentage","Third quintile","2014","Total","Total","16.4",""
"Zero minutes","Bulgaria","Percentage","Third quintile","2014","Total","Total","85.0",""
"From 1 to 149 minutes","Bulgaria","Percentage","Third quintile","2014","Total","Total","7.7",""
"From 150 to 299 minutes","Bulgaria","Percentage","Third quintile","2014","Total","Total","2.9",""
"300 minutes or over","Bulgaria","Percentage","Third quintile","2014","Total","Total","4.4",""
"Zero minutes","Czechia","Percentage","Third quintile","2014","Total","Total","51.5",""
"From 1 to 149 minutes","Czechia","Percentage","Third quintile","2014","Total","Total","23.1",""
"From 150 to 299 minutes","Czechia","Percentage","Third quintile","2014","Total","Total","12.3",""
"300 minutes or over","Czechia","Percentage","Third quintile","2014","Total","Total","13.1",""
"Zero minutes","Denmark","Percentage","Third quintile","2014","Total","Total","18.2",""
"From 1 to 149 minutes","Denmark","Percentage","Third quintile","2014","Total","Total","27.7",""
"From 150 to 299 minutes","Denmark","Percentage","Third quintile","2014","Total","Total","22.7",""
"300 minutes or over","Denmark","Percentage","Third quintile","2014","Total","Total","31.3",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","28.9",""
"From 1 to 149 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","22.7",""
"From 150 to 299 minutes","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","21.8",""
"300 minutes or over","Germany (until 1990 former territory of the FRG)","Percentage","Third quintile","2014","Total","Total","26.6",""
"Zero minutes","Estonia","Percentage","Third quintile","2014","Total","Total","52.1",""
"From 1 to 149 minutes","Estonia","Percentage","Third quintile","2014","Total","Total","24.4",""
"From 150 to 299 minutes","Estonia","Percentage","Third quintile","2014","Total","Total","10.3",""
"300 minutes or over","Estonia","Percentage","Third quintile","2014","Total","Total","13.1",""
"Zero minutes","Ireland","Percentage","Third quintile","2014","Total","Total","54.3",""
"From 1 to 149 minutes","Ireland","Percentage","Third quintile","2014","Total","Total","18.1",""
"From 150 to 299 minutes","Ireland","Percentage","Third quintile","2014","Total","Total","14.1",""
"300 minutes or over","Ireland","Percentage","Third quintile","2014","Total","Total","13.4",""
"Zero minutes","Greece","Percentage","Third quintile","2014","Total","Total","80.9",""
"From 1 to 149 minutes","Greece","Percentage","Third quintile","2014","Total","Total","6.1",""
"From 150 to 299 minutes","Greece","Percentage","Third quintile","2014","Total","Total","6.4",""
"300 minutes or over","Greece","Percentage","Third quintile","2014","Total","Total","6.6",""
"Zero minutes","Spain","Percentage","Third quintile","2014","Total","Total","52.9",""
"From 1 to 149 minutes","Spain","Percentage","Third quintile","2014","Total","Total","13.7",""
"From 150 to 299 minutes","Spain","Percentage","Third quintile","2014","Total","Total","11.7",""
"300 minutes or over","Spain","Percentage","Third quintile","2014","Total","Total","21.7",""
"Zero minutes","France","Percentage","Third quintile","2014","Total","Total","46.9",""
"From 1 to 149 minutes","France","Percentage","Third quintile","2014","Total","Total","25.0",""
"From 150 to 299 minutes","France","Percentage","Third quintile","2014","Total","Total","16.2",""
"300 minutes or over","France","Percentage","Third quintile","2014","Total","Total","11.9",""
"Zero minutes","Croatia","Percentage","Third quintile","2014","Total","Total","63.3",""
"From 1 to 149 minutes","Croatia","Percentage","Third quintile","2014","Total","Total","18.7",""
"From 150 to 299 minutes","Croatia","Percentage","Third quintile","2014","Total","Total","7.3",""
"300 minutes or over","Croatia","Percentage","Third quintile","2014","Total","Total","10.6",""
"Zero minutes","Italy","Percentage","Third quintile","2014","Total","Total","65.2",""
"From 1 to 149 minutes","Italy","Percentage","Third quintile","2014","Total","Total","18.2",""
"From 150 to 299 minutes","Italy","Percentage","Third quintile","2014","Total","Total","8.7",""
"300 minutes or over","Italy","Percentage","Third quintile","2014","Total","Total","7.9",""
"Zero minutes","Cyprus","Percentage","Third quintile","2014","Total","Total","60.1",""
"From 1 to 149 minutes","Cyprus","Percentage","Third quintile","2014","Total","Total","15.6",""
"From 150 to 299 minutes","Cyprus","Percentage","Third quintile","2014","Total","Total","15.4",""
"300 minutes or over","Cyprus","Percentage","Third quintile","2014","Total","Total","9.0",""
"Zero minutes","Latvia","Percentage","Third quintile","2014","Total","Total","54.3",""
"From 1 to 149 minutes","Latvia","Percentage","Third quintile","2014","Total","Total","23.7",""
"From 150 to 299 minutes","Latvia","Percentage","Third quintile","2014","Total","Total","10.7",""
"300 minutes or over","Latvia","Percentage","Third quintile","2014","Total","Total","11.3",""
"Zero minutes","Lithuania","Percentage","Third quintile","2014","Total","Total","67.5",""
"From 1 to 149 minutes","Lithuania","Percentage","Third quintile","2014","Total","Total","15.8",""
"From 150 to 299 minutes","Lithuania","Percentage","Third quintile","2014","Total","Total","9.7",""
"300 minutes or over","Lithuania","Percentage","Third quintile","2014","Total","Total","7.0",""
"Zero minutes","Luxembourg","Percentage","Third quintile","2014","Total","Total","38.6",""
"From 1 to 149 minutes","Luxembourg","Percentage","Third quintile","2014","Total","Total","20.3",""
"From 150 to 299 minutes","Luxembourg","Percentage","Third quintile","2014","Total","Total","19.3",""
"300 minutes or over","Luxembourg","Percentage","Third quintile","2014","Total","Total","21.9",""
"Zero minutes","Hungary","Percentage","Third quintile","2014","Total","Total","43.4",""
"From 1 to 149 minutes","Hungary","Percentage","Third quintile","2014","Total","Total","28.6",""
"From 150 to 299 minutes","Hungary","Percentage","Third quintile","2014","Total","Total","11.6",""
"300 minutes or over","Hungary","Percentage","Third quintile","2014","Total","Total","16.4",""
"Zero minutes","Malta","Percentage","Third quintile","2014","Total","Total","45.7",""
"From 1 to 149 minutes","Malta","Percentage","Third quintile","2014","Total","Total","19.1",""
"From 150 to 299 minutes","Malta","Percentage","Third quintile","2014","Total","Total","17.0",""
"300 minutes or over","Malta","Percentage","Third quintile","2014","Total","Total","18.2",""
"Zero minutes","Austria","Percentage","Third quintile","2014","Total","Total","27.1",""
"From 1 to 149 minutes","Austria","Percentage","Third quintile","2014","Total","Total","24.9",""
"From 150 to 299 minutes","Austria","Percentage","Third quintile","2014","Total","Total","20.0",""
"300 minutes or over","Austria","Percentage","Third quintile","2014","Total","Total","28.0",""
"Zero minutes","Poland","Percentage","Third quintile","2014","Total","Total","62.0",""
"From 1 to 149 minutes","Poland","Percentage","Third quintile","2014","Total","Total","21.7",""
"From 150 to 299 minutes","Poland","Percentage","Third quintile","2014","Total","Total","8.8",""
"300 minutes or over","Poland","Percentage","Third quintile","2014","Total","Total","7.4",""
"Zero minutes","Portugal","Percentage","Third quintile","2014","Total","Total","65.8",""
"From 1 to 149 minutes","Portugal","Percentage","Third quintile","2014","Total","Total","17.8",""
"From 150 to 299 minutes","Portugal","Percentage","Third quintile","2014","Total","Total","7.5",""
"300 minutes or over","Portugal","Percentage","Third quintile","2014","Total","Total","8.9",""
"Zero minutes","Romania","Percentage","Third quintile","2014","Total","Total","83.7",""
"From 1 to 149 minutes","Romania","Percentage","Third quintile","2014","Total","Total","7.8",""
"From 150 to 299 minutes","Romania","Percentage","Third quintile","2014","Total","Total","4.3",""
"300 minutes or over","Romania","Percentage","Third quintile","2014","Total","Total","4.2",""
"Zero minutes","Slovenia","Percentage","Third quintile","2014","Total","Total","34.8",""
"From 1 to 149 minutes","Slovenia","Percentage","Third quintile","2014","Total","Total","25.6",""
"From 150 to 299 minutes","Slovenia","Percentage","Third quintile","2014","Total","Total","15.9",""
"300 minutes or over","Slovenia","Percentage","Third quintile","2014","Total","Total","23.6",""
"Zero minutes","Slovakia","Percentage","Third quintile","2014","Total","Total","53.3",""
"From 1 to 149 minutes","Slovakia","Percentage","Third quintile","2014","Total","Total","23.3",""
"From 150 to 299 minutes","Slovakia","Percentage","Third quintile","2014","Total","Total","12.4",""
"300 minutes or over","Slovakia","Percentage","Third quintile","2014","Total","Total","11.1",""
"Zero minutes","Finland","Percentage","Third quintile","2014","Total","Total","23.2",""
"From 1 to 149 minutes","Finland","Percentage","Third quintile","2014","Total","Total","23.3",""
"From 150 to 299 minutes","Finland","Percentage","Third quintile","2014","Total","Total","26.4",""
"300 minutes or over","Finland","Percentage","Third quintile","2014","Total","Total","27.1",""
"Zero minutes","Sweden","Percentage","Third quintile","2014","Total","Total","25.0",""
"From 1 to 149 minutes","Sweden","Percentage","Third quintile","2014","Total","Total","22.5",""
"From 150 to 299 minutes","Sweden","Percentage","Third quintile","2014","Total","Total","24.7",""
"300 minutes or over","Sweden","Percentage","Third quintile","2014","Total","Total","27.8",""
"Zero minutes","United Kingdom","Percentage","Third quintile","2014","Total","Total","43.0",""
"From 1 to 149 minutes","United Kingdom","Percentage","Third quintile","2014","Total","Total","21.6",""
"From 150 to 299 minutes","United Kingdom","Percentage","Third quintile","2014","Total","Total","15.5",""
"300 minutes or over","United Kingdom","Percentage","Third quintile","2014","Total","Total","19.9",""
"Zero minutes","Iceland","Percentage","Third quintile","2014","Total","Total","26.7",""
"From 1 to 149 minutes","Iceland","Percentage","Third quintile","2014","Total","Total","11.3",""
"From 150 to 299 minutes","Iceland","Percentage","Third quintile","2014","Total","Total","31.7",""
"300 minutes or over","Iceland","Percentage","Third quintile","2014","Total","Total","30.3",""
"Zero minutes","Norway","Percentage","Third quintile","2014","Total","Total","24.7",""
"From 1 to 149 minutes","Norway","Percentage","Third quintile","2014","Total","Total","15.9",""
"From 150 to 299 minutes","Norway","Percentage","Third quintile","2014","Total","Total","21.2",""
"300 minutes or over","Norway","Percentage","Third quintile","2014","Total","Total","38.2",""
"Zero minutes","Turkey","Percentage","Third quintile","2014","Total","Total","87.3",""
"From 1 to 149 minutes","Turkey","Percentage","Third quintile","2014","Total","Total","7.6",""
"From 150 to 299 minutes","Turkey","Percentage","Third quintile","2014","Total","Total","2.3",""
"300 minutes or over","Turkey","Percentage","Third quintile","2014","Total","Total","2.8",""
