"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 28 countries","Percentage","2014","Third quintile","Total","Total","34.0",""
"From 1 to 4 portions","European Union - 28 countries","Percentage","2014","Third quintile","Total","Total","51.7",""
"5 portions or more","European Union - 28 countries","Percentage","2014","Third quintile","Total","Total","14.3",""
"0 portions","Belgium","Percentage","2014","Third quintile","Total","Total","14.3",""
"From 1 to 4 portions","Belgium","Percentage","2014","Third quintile","Total","Total","73.0",""
"5 portions or more","Belgium","Percentage","2014","Third quintile","Total","Total","12.7",""
"0 portions","Bulgaria","Percentage","2014","Third quintile","Total","Total","56.5",""
"From 1 to 4 portions","Bulgaria","Percentage","2014","Third quintile","Total","Total","39.5",""
"5 portions or more","Bulgaria","Percentage","2014","Third quintile","Total","Total","4.0",""
"0 portions","Czechia","Percentage","2014","Third quintile","Total","Total","44.2",""
"From 1 to 4 portions","Czechia","Percentage","2014","Third quintile","Total","Total","47.2",""
"5 portions or more","Czechia","Percentage","2014","Third quintile","Total","Total","8.6",""
"0 portions","Denmark","Percentage","2014","Third quintile","Total","Total","40.2",""
"From 1 to 4 portions","Denmark","Percentage","2014","Third quintile","Total","Total","35.8",""
"5 portions or more","Denmark","Percentage","2014","Third quintile","Total","Total","24.0",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Third quintile","Total","Total","45.2",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Third quintile","Total","Total","45.3",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2014","Third quintile","Total","Total","9.6",""
"0 portions","Estonia","Percentage","2014","Third quintile","Total","Total","29.1",""
"From 1 to 4 portions","Estonia","Percentage","2014","Third quintile","Total","Total","49.2",""
"5 portions or more","Estonia","Percentage","2014","Third quintile","Total","Total","21.7",""
"0 portions","Ireland","Percentage","2014","Third quintile","Total","Total","32.8",""
"From 1 to 4 portions","Ireland","Percentage","2014","Third quintile","Total","Total","39.1",""
"5 portions or more","Ireland","Percentage","2014","Third quintile","Total","Total","28.2",""
"0 portions","Greece","Percentage","2014","Third quintile","Total","Total","23.9",""
"From 1 to 4 portions","Greece","Percentage","2014","Third quintile","Total","Total","68.3",""
"5 portions or more","Greece","Percentage","2014","Third quintile","Total","Total","7.8",""
"0 portions","Spain","Percentage","2014","Third quintile","Total","Total","24.1",""
"From 1 to 4 portions","Spain","Percentage","2014","Third quintile","Total","Total","63.4",""
