"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 28 countries","Percentage","2014","Fourth quintile","Total","Total","33.1",""
"From 1 to 4 portions","European Union - 28 countries","Percentage","2014","Fourth quintile","Total","Total","51.6",""
"5 portions or more","European Union - 28 countries","Percentage","2014","Fourth quintile","Total","Total","15.2",""
"0 portions","Belgium","Percentage","2014","Fourth quintile","Total","Total","15.1",""
"From 1 to 4 portions","Belgium","Percentage","2014","Fourth quintile","Total","Total","71.9",""
"5 portions or more","Belgium","Percentage","2014","Fourth quintile","Total","Total","13.0",""
"0 portions","Bulgaria","Percentage","2014","Fourth quintile","Total","Total","55.5",""
"From 1 to 4 portions","Bulgaria","Percentage","2014","Fourth quintile","Total","Total","40.3",""
"5 portions or more","Bulgaria","Percentage","2014","Fourth quintile","Total","Total","4.2",""
"0 portions","Czechia","Percentage","2014","Fourth quintile","Total","Total","44.1",""
"From 1 to 4 portions","Czechia","Percentage","2014","Fourth quintile","Total","Total","46.2",""
"5 portions or more","Czechia","Percentage","2014","Fourth quintile","Total","Total","9.7",""
"0 portions","Denmark","Percentage","2014","Fourth quintile","Total","Total","32.3",""
"From 1 to 4 portions","Denmark","Percentage","2014","Fourth quintile","Total","Total","40.1",""
"5 portions or more","Denmark","Percentage","2014","Fourth quintile","Total","Total","27.6",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Fourth quintile","Total","Total","47.0",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Fourth quintile","Total","Total","43.3",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2014","Fourth quintile","Total","Total","9.7",""
"0 portions","Estonia","Percentage","2014","Fourth quintile","Total","Total","33.2",""
"From 1 to 4 portions","Estonia","Percentage","2014","Fourth quintile","Total","Total","47.4",""
"5 portions or more","Estonia","Percentage","2014","Fourth quintile","Total","Total","19.5",""
"0 portions","Ireland","Percentage","2014","Fourth quintile","Total","Total","32.0",""
"From 1 to 4 portions","Ireland","Percentage","2014","Fourth quintile","Total","Total","38.4",""
"5 portions or more","Ireland","Percentage","2014","Fourth quintile","Total","Total","29.6",""
"0 portions","Greece","Percentage","2014","Fourth quintile","Total","Total","32.6",""
"From 1 to 4 portions","Greece","Percentage","2014","Fourth quintile","Total","Total","61.2",""
"5 portions or more","Greece","Percentage","2014","Fourth quintile","Total","Total","6.2",""
"0 portions","Spain","Percentage","2014","Fourth quintile","Total","Total","23.6",""
"From 1 to 4 portions","Spain","Percentage","2014","Fourth quintile","Total","Total","61.8",""
"5 portions or more","Spain","Percentage","2014","Fourth quintile","Total","Total","14.6",""
"0 portions","France","Percentage","2014","Fourth quintile","Total","Total","30.6",""
"From 1 to 4 portions","France","Percentage","2014","Fourth quintile","Total","Total","53.8",""
