,Objektart,MietpreisproMonat,Zimmer,Verfügbarab,rating,adress,publication_date,city,DateofScrapping,Wohnfläche,Geschoss,Kabel-TV,Rollstuhlgängig,Baujahr,Balkon(e),Einstellplatz,Aussenparkplatz,Cheminée,MietpreisproMonat(exkl.NK),Nebenkosten,Lift,ÖV-Haltestelle,Einkaufsmöglichkeit,Haustiereerlaubt,Autobahn,Kindergarten,Primarschule,Sekundarschule,Raumhöhe,Wohnungen,Bäder,Neubau,Still,Sonnig,Nutzfläche,Toiletten,Kinderfreundlich,Erstbezug,Minergie-zertifiziert,AltesGebäude,Geschirrspülmaschine,Wasseranschluss,Kubatur,Eckhaus,Veranda,Hochparterre,Hebebühne,Anfahrrampe,Holzofen,Grundstückfläche
23016250,Wohnung,1980,3,,NaN,"Meientalstrasse 77, 8048 Zürich",25.02.2020,zuerich,26.02.2020,52,1.Stock,,,,,,,,1800,180,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
23015817,Wohnung,1650,3,sofort,5,"Limmattalstrasse 332, 8049 Zürich ZH",25.02.2020,zuerich,26.02.2020,75,2.Stock,1,,1955,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23016473,Wohnung,900,1.5,,NaN,8008 Zürich,25.02.2020,zuerich,26.02.2020,32,1.Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23015814,Wohnung,780,1,sofort,NaN,"Bristenstr, 8048 Zürich ZH",25.02.2020,zuerich,26.02.2020,,3.Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23015786,Wohnung,1250,2,nachVereinbarung,NaN,8004 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23015815,Wohnung,190,,nachVereinbarung,NaN,8005 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23016185,Wohnung,aufAnfrage,2.5,sofort,NaN,"eee, 8000 Zürich",25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23015874,Wohnung,1250,1,sofort,NaN,"Paulstrasse 4, 8008 Zürich ZH",25.02.2020,zuerich,26.02.2020,13,4.Stock,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23015785,Wohnung,1200,2,nachVereinbarung,NaN,8048 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014731,Wohnung,1625,3,01.04.2020,NaN,"Grosswiesenstrasse 75, 8051 Zürich",25.02.2020,zuerich,26.02.2020,,1.Stock,1,,,1,,,,1480,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23015876,Wohnung,1900,3.5,nachVereinbarung,NaN,8008 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018926,Wohnung,2180,2.5,01.04.2020,NaN,"Winterthurerstrasse 580, 8051 Zürich",25.02.2020,zuerich,26.02.2020,,3.Stock,,,2015,1,,,,1990,190,,100m,200m,,2000m,200m,400m,400m,,,,1,,,,,,,,,,,,,,,,,,
23014743,Wohnung,990,2,13.05.2020,NaN,"Grebelackerstrasse 14, 8057 Zürich",25.02.2020,zuerich,26.02.2020,52,2.Stock,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23014727,Wohnung,1940,,01.03.2020,4,"Schwamendingenstrasse 96, 8050 Zürich",25.02.2020,zuerich,26.02.2020,64,3.Stock,1,,1931,1,,1,,1760,180,,100m,800m,1,1000m,,,,,,,,,,64,,,,,,,,,,,,,,,
23014724,Wohnung,1350,1,16.03.2020,4,"Hardeggstrasse 27, 8049 Zürich",25.02.2020,zuerich,26.02.2020,33,EG,1,,1968,1,,,,1280,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014739,Wohnung,1958,3,sofort,4,"Trichtenhausenstrasse 17, 8053 Zürich",25.02.2020,zuerich,26.02.2020,60,2.Stock,1,,1959,1,1,,,1775,183,,100m,300m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014723,Wohnung,1935,2.5,sofort,NaN,"Saumackerstrasse 62, 8048 Zürich",25.02.2020,zuerich,26.02.2020,,4.Stock,1,,,1,1,,1,1795,140,1,250m,120m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014738,Wohnung,1430,2,01.04.2020,NaN,"nahe Haltestelle Seebach, 8052 Zürich",25.02.2020,zuerich,26.02.2020,50,2.Stock,1,,,1,,1,,,,,100m,100m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018927,Wohnung,1690,2,,NaN,"Winterthurerstrasse 580, 8051 Zürich",25.02.2020,zuerich,26.02.2020,,,,,2015,1,,,,1590,100,,20m,100m,,2000m,100m,300m,300m,,,,,,,,,,,,,,,,,,,,,,
23014719,Wohnung,1897,3.5,01.04.2020,6,"Fellenbergstrasse 278, 8047 Zürich",25.02.2020,zuerich,26.02.2020,81,2.Stock,1,,2014,1,1,,,1754,143,1,100m,250m,,,250m,250m,,,,,,,,,,1,,,,,,,,,,,,,
23014717,Wohnung,1220,1,01.04.2020,NaN,"Bächlerstrasse 11, 8046 Zürich",25.02.2020,zuerich,26.02.2020,31,1.Stock,,,,1,,,,1100,120,,100m,100m,,500m,,,,,,,,,,,,1,,,,,,,,,,,,,
23014705,Wohnung,890,1,sofort,NaN,"Weinbergstrasse 91, 8006 Zürich",25.02.2020,zuerich,26.02.2020,18,1.Stock,,,1894,,,,,815,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018943,Wohnung,1760,2.5,,NaN,"Zwyssigstrasse 12, 8048 Zürich",25.02.2020,zuerich,26.02.2020,60,,,,,1,1,,,1560,200,,20m,500m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014709,Wohnung,994,1,01.04.2020,NaN,"Englischviertelstrasse 52, 8032 Zürich",25.02.2020,zuerich,26.02.2020,21,1.Stock,1,,,1,,,,880,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014707,Wohnung,3800,4.5,,3,"Lindenbachstrasse 47, 8006 Zürich",25.02.2020,zuerich,26.02.2020,104,2.Stock,1,,1911,1,,1,,3550,250,1,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,
23014708,Wohnung,6500,4,,NaN,8008 Zürich,25.02.2020,zuerich,26.02.2020,110,2.Stock,1,,2000,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
23014706,Wohnung,2580,2.5,15.03.2020,NaN,"Ottikerstrasse 38, 8006 Zürich",25.02.2020,zuerich,26.02.2020,73,1.Stock,1,,,,1,,1,2400,180,1,100m,100m,,2000m,,,,,,,,,,,,,,,,,,,,,,,,,
23014720,Wohnung,1455,2,,NaN,"Langgrütweg 95, 8047 Zürich",25.02.2020,zuerich,26.02.2020,55,EG,1,,,1,,,,1230,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23017410,Wohnung,2080,2.5,01.05.2020,NaN,"Albisriederstrasse 351, 8047 Zürich",25.02.2020,zuerich,26.02.2020,56,EG,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23013598,Wohnung,2735,2.5,nachVereinbarung,NaN,8032 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012855,Maisonette,2450,3,nachVereinbarung,NaN,8004 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012822,Wohnung,1994,3.5,01.04.2020,NaN,"Carl-Spitteler-Strasse 50, 8053 Zürich",24.02.2020,zuerich,26.02.2020,103,2.Stock,1,,,1,,,,1790,204,,500m,500m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014700,Wohnung,1555,2,01.03.2020,NaN,"Steinstrasse 56, 8003 Zürich",25.02.2020,zuerich,26.02.2020,52,EG,,,,,,,,1415,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23013718,Wohnung,1085,1,01.05.2020,NaN,8004 Zürich ZH,24.02.2020,zuerich,26.02.2020,14,2.Stock,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014699,Maisonette,1980,3,01.04.2020,NaN,"Rütistrasse 66, 8044 Gockhausen",25.02.2020,zuerich,26.02.2020,90,,1,,,1,1,,,1800,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23022505,Wohnung,2035,3.5,nachVereinbarung,NaN,8055 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23013058,Wohnung,2370,2.5,nachVereinbarung,NaN,8046 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23013055,Studio,1,1,nachVereinbarung,NaN,8004 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014702,Studio,1200,,sofort,NaN,"Badenerstrasse 300, 8004 Zürich",25.02.2020,zuerich,26.02.2020,,,1,,1976,1,,,,,,1,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
23012814,Wohnung,2500,3.5,,4,"Limmattalstrasse 177, 8049 Zürich",24.02.2020,zuerich,26.02.2020,90,2.Stock,,,1960,1,,,,2360,140,1,,,,,100m,100m,1000m,,,,,,,,,,,,,,,,,,,,,,
23012820,Wohnung,1900,2.5,,4,"Seebacherstrasse 44, 8052 Zürich",24.02.2020,zuerich,26.02.2020,62,EG,1,,2010,1,,,,1700,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012821,Wohnung,2600,4.5,sofort,2,"Käshaldenstrasse 3, 8052 Zürich",24.02.2020,zuerich,26.02.2020,90,1.Stock,1,,1974,1,1,,,2300,300,1,100m,1000m,,1000m,500m,500m,,,,,,,,,,1,,,,,,,,,,,,,
23012815,Wohnung,2560,3.5,01.05.2020,2,"Im oberen Boden 142, 8049 Zürich",24.02.2020,zuerich,26.02.2020,86,,1,,1979,1,1,,1,2380,180,,350m,400m,,6m,,,,,,,,,,115,,,,,,,,,,,,,,,
23012811,Studio,1250,1.5,,NaN,"Albulastrasse 56, 8048 Zürich",24.02.2020,zuerich,26.02.2020,42,7.Stock,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012818,Wohnung,2170,3.5,,NaN,"Luegislandstrasse 84, 8051 Zürich",24.02.2020,zuerich,26.02.2020,95,3.Stock,1,,,1,,,1,1900,270,,250m,250m,,500m,,,,,,,,,,,,,,,,,,,,,,,,,
23012816,Wohnung,2700,4.5,,4,"Limmattalstrasse 177, 8049 Zürich",24.02.2020,zuerich,26.02.2020,115,3.Stock,,,1960,1,,,,2520,180,1,,,,,100m,100m,1000m,,,,,,,,,,,,,,,,,,,,,,
23012813,Wohnung,1200,1.5,01.04.2020,NaN,"Imbisbühlstrasse 149, 8049 Zürich",24.02.2020,zuerich,26.02.2020,50,EG,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012812,Wohnung,2370,,01.04.2020,NaN,"Flurstrasse 17, 8048 Zürich",24.02.2020,zuerich,26.02.2020,98,,,,,1,,,,2100,270,1,15m,15m,,,,,,,,,,,,98,,,,,,,,,,,,,,,
23012817,Wohnung,1507,2.5,01.04.2020,NaN,"Schaffhauserstrasse 405, 8050 Zürich",24.02.2020,zuerich,26.02.2020,,2.Stock,1,,,1,,,,1447,60,1,20m,30m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012806,Wohnung,4190,5.5,01.08.2020,5,"Rötelstrasse 109, 8037 Zürich",24.02.2020,zuerich,26.02.2020,129,EG,1,,2016,1,1,1,,3800,390,1,50m,300m,,,300m,,,,,,,,,129,,1,,,,,,,,,,,,,
23012809,Wohnung,2600,3.5,,NaN,"Bergstr. 36, 8044 Zürich",24.02.2020,zuerich,26.02.2020,80,EG,,,,,,,,2400,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025398,Wohnung,1200,1,01.05.2020,4,"Germaniastrasse, 8006 Zürich ZH",24.02.2020,zuerich,26.02.2020,25,3.Stock,1,,1906,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012810,Einzelzimmer,1550,1,sofort,NaN,"Hagenbuchrain 32, 8047 Zürich",24.02.2020,zuerich,26.02.2020,16,3.Stock,1,,2007,1,1,1,,,,1,300m,400m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012803,Wohnung,3900,3,,NaN,"Höschgasse 38, 8008 Zürich",24.02.2020,zuerich,26.02.2020,88,5.Stock,1,,,1,,,,3680,220,1,50m,50m,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23012801,Dachwohnung,3100,2.5,sofort,3,"Bolleystrasse 38, 8006 Zürich",24.02.2020,zuerich,26.02.2020,75,5.Stock,1,,1907,1,,,1,2800,300,1,100m,200m,,2000m,200m,200m,500m,,,,,,,,,,,,,,,,,,,,,,
23012804,Wohnung,4200,3.5,sofort,5,"Dufourstrasse 59, 8008 Zürich",24.02.2020,zuerich,26.02.2020,101,2.Stock,,,2017,1,1,1,,3900,300,1,100m,200m,,,,,,,,,,,,,,1,,,,,,,,,,,,,
23012800,Dachwohnung,2850,2.5,01.03.2020,3,"Culmannstrasse 63, 8006 Zürich",24.02.2020,zuerich,26.02.2020,70,3.Stock,1,,1930,,,,,2650,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012802,Wohnung,2200,2.5,01.04.2020,6,"August-Forel-Strasse 21, 8008 Zürich",24.02.2020,zuerich,26.02.2020,57,2.Stock,,,2020,1,1,1,,2000,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012805,Wohnung,3000,3.5,01.05.2020,4,"Streulistrasse 77, 8032 Zürich",24.02.2020,zuerich,26.02.2020,88,EG,,,1920,1,,,,2750,250,,150m,150m,,1000m,50m,50m,50m,,,,,,,88,,1,,,,,,,,,,,,,
23012795,Wohnung,920,1,01.04.2020,NaN,"Erlachstrasse 35, 8003 Zürich",24.02.2020,zuerich,26.02.2020,,EG,,,,,,,,880,40,,200m,200m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018924,Wohnung,1130,1,16.04.2020,6,"Verena Conzett-Strasse 33, 8004 Zürich",24.02.2020,zuerich,26.02.2020,37,4.Stock,,,1938,,,,,950,180,,200m,250m,,,400m,350m,500m,,,,,,,,,,,,,,,,,,,,,,
23012797,Maisonette,3496,3.5,15.04.2020,NaN,"Zentralstrasse 133, 8003 Zürich",24.02.2020,zuerich,26.02.2020,93,5.Stock,1,,,1,,1,,3276,220,,100m,100m,,,200m,300m,,,,,,,,123,,,,,,,,,,,,,,,
23012796,Wohnung,2580,3,,NaN,"Schimmelstr.16, 8003 Zürich",24.02.2020,zuerich,26.02.2020,78,1.Stock,1,,,1,,,,2200,380,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012794,Attika,3920,5.5,01.04.2020,NaN,8002 Zürich,24.02.2020,zuerich,26.02.2020,120,5.Stock,1,,,1,,1,1,3600,320,,200m,500m,,1500m,400m,400m,200m,,,,,,,,,,,,,,,,,,,,,,
23012684,Wohnung,1490,1,01.06.2020,NaN,8050 Zürich ZH,24.02.2020,zuerich,26.02.2020,90,3.Stock,1,1,2017,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
23012681,Wohnung,1650,1,nachVereinbarung,NaN,8057 Zürich ZH,24.02.2020,zuerich,26.02.2020,20,,1,,1982,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
23018863,Wohnung,4090,4.5,01.04.2020,4,"Bellariastrasse 85, 8038 Zürich",24.02.2020,zuerich,26.02.2020,112,1.Stock,,,2014,,,,,3750,340,,100m,100m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012682,Wohnung,1400,1,nachVereinbarung,4,8041 Zürich ZH,24.02.2020,zuerich,26.02.2020,23,EG,,,2019,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
23012679,Wohnung,1500,1,nachVereinbarung,NaN,8003 Zürich ZH,24.02.2020,zuerich,26.02.2020,20,1.Stock,,,1989,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009786,Wohnung,1200,1,sofort,NaN,8053 Zürich ZH,24.02.2020,zuerich,26.02.2020,23,4.Stock,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23010495,Terrassenwohnung,3630,3.5,nachVereinbarung,NaN,"Friesenbergstrasse 82, 8055 Zürich",24.02.2020,zuerich,26.02.2020,105,EG,,,,1,,1,,3290,340,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
23010080,Attika,3850,3.5,01.04.2020,4,8004 Zürich,24.02.2020,zuerich,26.02.2020,120,5.Stock,1,,1890,1,,1,,3500,350,,30m,100m,,,100m,100m,100m,,,,,,,,,,,,,,,,,,,,,,
23009758,Wohnung,1150,1,nachVereinbarung,NaN,8006 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018942,Wohnung,1990,4,01.04.2020,6,"Buchzelgstr. 41, 8053 Zürich",24.02.2020,zuerich,26.02.2020,93,1.Stock,,,1966,1,,,,1810,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009760,Wohnung,956,1,01.04.2020,NaN,8052 Zürich ZH,24.02.2020,zuerich,26.02.2020,,2.Stock,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23011658,Wohnung,2040,3,10.04.2020,NaN,"Forchstrasse  354, 8008 Zürich",24.02.2020,zuerich,26.02.2020,78,EG,,,1541,,,1,,1800,240,,150m,450m,,,,,,,,,,,,,,,,,1,,,,,,,,,,
23012142,Wohnung,1900,1.5,nachVereinbarung,NaN,8006 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009740,Wohnung,2165,3.5,03.04.2020,NaN,8008 Zürich ZH,24.02.2020,zuerich,26.02.2020,80,2.Stock,,,,1,,,,1915,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018862,Wohnung,4110,4.5,01.04.2020,3,"Bellariastrasse 83, 8038 Zürich",24.02.2020,zuerich,26.02.2020,100,1.Stock,,,2014,,,,,3800,310,,100m,100m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009506,Wohnung,950,1,nachVereinbarung,NaN,8050 Zürich ZH,24.02.2020,zuerich,26.02.2020,,2.Stock,1,,2010,1,,,,900,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009388,Wohnung,1975,2.5,sofort,4,"Im Tobelacker 27, 8044 Gockhausen ZH",24.02.2020,zuerich,26.02.2020,52,1.Stock,1,1,2019,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23009389,Wohnung,1950,3,nachVereinbarung,NaN,8047 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009342,Wohnung,960,1,01.03.2020,NaN,"Hallwylstrasse, 8004 Zürich ZH",24.02.2020,zuerich,26.02.2020,18,2.Stock,,,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009493,Dachwohnung,2000,3.5,nachVereinbarung,NaN,8049 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009341,Wohnung,1175,1,01.04.2020,NaN,"Grünhaldenstrasse 31, 8052 Zürich ZH",24.02.2020,zuerich,26.02.2020,28,EG,,,,,,,,1080,95,,300m,300m,,1000m,,,,,,,,,,,,,,,,1,,,,,,,,,
23009333,Wohnung,2660,2.5,sofort,5,"Limmatstrasse 73, 8005 Zürich ZH",24.02.2020,zuerich,26.02.2020,69,1.Stock,,1,2019,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009601,Wohnung,1549,2.5,nachVereinbarung,NaN,8048 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009504,Wohnung,1300,1,01.04.2020,NaN,8004 Zürich ZH,24.02.2020,zuerich,26.02.2020,,2.Stock,,,2017,1,,,,1200,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009335,Wohnung,1900,2.5,nachVereinbarung,NaN,8032 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001502,Wohnung,2990,6.5,sofort,NaN,"Furrtalstrasse 21, 8046 Zürich",22.02.2020,zuerich,26.02.2020,,EG,1,,2014,1,1,,,2800,190,1,,,,,,,,,,,,,,198,,1,,,,,,,,,,,,,
23009260,Wohnung,50,1,nachVereinbarung,NaN,8057 Zürich ZH,24.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23004871,Dachwohnung,2700,2.5,01.05.2020,NaN,"Scheuchzerstrasse 69, 8006 Zürich",,zuerich,26.02.2020,60,5.Stock,1,,,1,,,,2500,200,1,100m,40m,,,500m,500m,,,,,,,,80,,,,,1,,,,,,,,,,
23001504,Wohnung,1440,2,01.04.2020,NaN,"nahe Rautistrasse, 8048 Zürich",22.02.2020,zuerich,26.02.2020,50,EG,,,,1,,,,,,,250m,950m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009105,Wohnung,2100,1,nachVereinbarung,NaN,"Sternenstrasse 19, 8002 Zürich ZH",24.02.2020,zuerich,26.02.2020,120,4.Stock,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23004650,Wohnung,2130,3.5,01.04.2020,NaN,"Binzmühlestrasse 99, 8050 Zürich",,zuerich,26.02.2020,85,5.Stock,1,1,,1,,1,,1910,220,1,100m,300m,,1000m,550m,840m,10m,,,,,,,,,1,,,,,,,,,,,,,
23001508,Wohnung,1950,4,16.04.2020,5,"Hofwiesenstrasse 264, 8050 Zürich",22.02.2020,zuerich,26.02.2020,76,EG,1,,1960,1,1,1,,1660,290,1,100m,500m,,,200m,200m,200m,,,,,,,,,,,,,,,,,,,,,,
23003705,Wohnung,2400,2.5,01.04.2020,NaN,"Letzigraben 101, 8003 Zürich",,zuerich,26.02.2020,71,3.Stock,,,,,,,,2200,200,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
23004420,Einzelzimmer,1250,1.5,01.04.2020,NaN,"Freiestrasse 198, 8032 Zürich",22.02.2020,zuerich,26.02.2020,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23009107,Wohnung,1425,1.5,01.04.2020,NaN,"Sonneggsteig 3, 8006 Zürich ZH",24.02.2020,zuerich,26.02.2020,42,EG,,,,1,,,,1300,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23012677,Wohnung,950,1,sofort,5,"Klingenstrasse 24, 8005 Zürich ZH",21.02.2020,zuerich,26.02.2020,20,2.Stock,,,1901,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000712,Wohnung,1740,2,nachVereinbarung,NaN,8049 Zürich ZH,21.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001408,Wohnung,2055,3,nachVereinbarung,5,"Birmensdorferstrasse 208, 8003 Zürich",,zuerich,26.02.2020,75,2.Stock,,,1912,,,,,1800,255,,150m,75m,,1000m,,,,,,,,,,,,,,,,,,,,,,,,,
23000977,Wohnung,1750,3.5,nachVereinbarung,NaN,8004 Zürich ZH,22.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001497,Wohnung,5980,4.5,sofort,2,"Landoltstrasse 1, 8006 Zürich",22.02.2020,zuerich,26.02.2020,140,2.Stock,1,,1906,1,,,1,,,1,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,
23000709,Studio,1500,1,nachVereinbarung,NaN,8048 Zürich ZH,21.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000711,Dachwohnung,1590,2,nachVereinbarung,NaN,8050 Zürich ZH,21.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000257,Wohnung,1300,2,sofort,NaN,"Heidwiesen 17, 8051 Zürich ZH",21.02.2020,zuerich,26.02.2020,,3.Stock,,,,,,,,1100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001494,Wohnung,3470,4,16.04.2020,NaN,"Hohlstrasse 43, 8004 Zürich",22.02.2020,zuerich,26.02.2020,120,3.Stock,1,,,1,,,,,,,60m,40m,,,60m,100m,,,,,,,,120,,,,,,,,,,,,,,,
23000707,Wohnung,1290,1,nachVereinbarung,NaN,"Ottenweg 8, 8008 Zürich ZH",21.02.2020,zuerich,26.02.2020,13,2.Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23003562,Wohnung,2740,3.5,01.04.2020,3,"Grosswiesenstrasse 165, 8051 Zürich",21.02.2020,zuerich,26.02.2020,88,10.Stock,,1,2014,1,1,,,2490,250,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
22997971,Wohnung,1154,3,01.04.2020,NaN,"Winzerhalde 46, 8049 Zürich",21.02.2020,zuerich,26.02.2020,76,3.Stock,,,,,,,,945,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001434,Attika,2720,2.5,nachVereinbarung,NaN,"Kochstrasse 19, 8004 Zürich",21.02.2020,zuerich,26.02.2020,67,,,,,,,,,2550,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001350,Wohnung,1677,4,01.04.2020,5,"Bächlerstrasse 17, 8046 Zürich",21.02.2020,zuerich,26.02.2020,73,3.Stock,,,1957,,,,,1410,267,,,,1,,,,,,,,,,,,,,,,,,,178m³,,,,,,,
23001510,Wohnung,2215,3.5,01.05.2020,5,"Heerenschürlistrasse 4, 8051 Zürich",21.02.2020,zuerich,26.02.2020,83,2.Stock,,,2014,,,,,1974,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001441,Attika,3700,3.5,nachVereinbarung,NaN,"Kochstrasse 19, 8004 Zürich",21.02.2020,zuerich,26.02.2020,96,,,,,,,,,3450,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22999665,Wohnung,3550,3.5,16.04.2020,4,"Bellariastrasse 81, 8038 Zürich",21.02.2020,zuerich,26.02.2020,94,1.Stock,,,2014,,,,,3260,290,,100m,100m,,,,,,,,,,,,,,,,,,,,,,,,,,,
22997965,Maisonette,2950,3,01.04.2020,4,"Hadlaubstrasse 109, 8006 Zürich",21.02.2020,zuerich,26.02.2020,78,,,,1916,1,,,,2750,200,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,
23000254,Wohnung,1184,1.5,nachVereinbarung,NaN,8032 Zürich ZH,21.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
